data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,7253,72,Gato,14,8422,84,Cabra,6,7846,78,Elefante,12,7284,72,Touro,21,0585,05,Tigre,22,2592,25,Urso,23,3300,33,Vaca,25,7209,72,Burro,3,1281,12,Touro,21,6657,66,Jacaré,15
2026-09-12,sábado,9368,93,Macaco,17,8368,83,Macaco,17,4331,43,Camelo,8,1811,18,Burro,3,2166,21,Macaco,17,6830,68,Camelo,8,9191,91,Urso,23,9460,94,Jacaré,15,6852,68,Galo,13,9820,98,Cachorro,5
2026-09-11,sexta-feira,8998,89,Vaca,25,1273,12,Pavâo,19,3612,36,Burro,3,8607,86,Águia,2,8724,87,Cabra,6,8559,85,Jacaré,15,4399,43,Vaca,25,4867,48,Macaco,17,0346,03,Elefante,12,6767,67,Macaco,17
2026-09-10,quinta-feira,2525,25,Carneiro,7,3055,30,Gato,14,8213,82,Borboleta,4,1848,18,Elefante,12,1005,10,Águia,2,0788,07,Tigre,22,3371,33,Porco,18,5967,59,Macaco,17,5268,52,Macaco,17,7169,71,Porco,18
2026-09-09,quarta-feira,4277,42,Peru,20,5598,55,Vaca,25,1823,18,Cabra,6,1054,10,Gato,14,5577,55,Peru,20,8006,80,Águia,2,3813,38,Borboleta,4,6757,67,Jacaré,15,8092,80,Urso,23,5613,56,Borboleta,4
2026-09-08,terça-feira,5832,58,Camelo,8,5367,53,Macaco,17,4768,47,Macaco,17,3548,35,Elefante,12,1574,15,Pavâo,19,3354,33,Gato,14,0885,08,Tigre,22,0436,04,Cobra,9,4714,47,Borboleta,4,8577,85,Peru,20
2026-09-07,segunda-feira,2537,25,Coelho,10,8946,89,Elefante,12,1685,16,Tigre,22,4873,48,Pavâo,19,8401,84,Avestruz,1,4204,42,Avestruz,1,9288,92,Tigre,22,1380,13,Peru,20,8926,89,Carneiro,7,2996,29,Veado,24
2026-09-06,domingo,9028,90,Carneiro,7,3201,32,Avestruz,1,5619,56,Cachorro,5,6980,69,Peru,20,2407,24,Águia,2,7392,73,Urso,23,2985,29,Tigre,22,4175,41,Pavâo,19,1417,14,Cachorro,5,6451,64,Galo,13
2026-09-05,sábado,6119,61,Cachorro,5,3916,39,Borboleta,4,7687,76,Tigre,22,3401,34,Avestruz,1,4938,49,Coelho,10,7511,75,Burro,3,9198,91,Vaca,25,9039,90,Coelho,10,1831,18,Camelo,8,6647,66,Elefante,12
2026-09-04,sexta-feira,9507,95,Águia,2,4982,49,Touro,21,6020,60,Cachorro,5,9819,98,Cachorro,5,6783,67,Touro,21,0548,05,Elefante,12,6564,65,Leâo,16,5936,59,Cobra,9,5114,51,Borboleta,4,9706,97,Águia,2
2026-09-03,quinta-feira,4320,43,Cachorro,5,4631,46,Camelo,8,3171,31,Porco,18,0422,04,Cabra,6,4784,47,Touro,21,1818,18,Cachorro,5,6834,68,Cobra,9,4078,40,Peru,20,6883,68,Touro,21,3008,30,Águia,2
2026-09-02,quarta-feira,3774,37,Pavâo,19,1242,12,Cavalo,11,7965,79,Macaco,17,8164,81,Leâo,16,6191,61,Urso,23,5187,51,Tigre,22,6749,67,Galo,13,3880,38,Peru,20,2618,26,Cachorro,5,4854,48,Gato,14
2026-09-01,terça-feira,9122,91,Cabra,6,3855,38,Gato,14,0139,01,Coelho,10,0912,09,Burro,3,8662,86,Leâo,16,6598,65,Vaca,25,7536,75,Cobra,9,8949,89,Galo,13,8699,86,Vaca,25,5040,50,Coelho,10
2026-08-31,segunda-feira,1944,19,Cavalo,11,9899,98,Vaca,25,1402,14,Avestruz,1,1884,18,Touro,21,7983,79,Touro,21,1836,18,Cobra,9,2547,25,Elefante,12,5723,57,Cabra,6,2599,25,Vaca,25,7244,72,Cavalo,11
2026-08-30,domingo,6405,64,Águia,2,4813,48,Borboleta,4,5187,51,Tigre,22,3378,33,Peru,20,1006,10,Águia,2,9995,99,Veado,24,0110,01,Burro,3,6426,64,Carneiro,7,4800,48,Vaca,25,7680,76,Peru,20
2026-08-29,sábado,9222,92,Cabra,6,4953,49,Gato,14,8194,81,Veado,24,1119,11,Cachorro,5,9555,95,Gato,14,2564,25,Leâo,16,0395,03,Veado,24,6107,61,Águia,2,8535,85,Cobra,9,8735,87,Cobra,9
2026-08-28,sexta-feira,2476,24,Pavâo,19,3606,36,Águia,2,4567,45,Macaco,17,0500,05,Vaca,25,9551,95,Galo,13,0671,06,Porco,18,4796,47,Veado,24,3462,34,Leâo,16,4320,43,Cachorro,5,4118,41,Cachorro,5
2026-08-27,quinta-feira,6156,61,Gato,14,8075,80,Pavâo,19,3318,33,Cachorro,5,5396,53,Veado,24,1919,19,Cachorro,5,4187,41,Tigre,22,8281,82,Touro,21,9609,96,Burro,3,8548,85,Elefante,12,9013,90,Borboleta,4
2026-08-26,quarta-feira,4980,49,Peru,20,2861,28,Leâo,16,7169,71,Porco,18,7863,78,Leâo,16,9597,95,Vaca,25,7725,77,Carneiro,7,4227,42,Carneiro,7,5065,50,Macaco,17,1906,19,Águia,2,9583,95,Touro,21
2026-08-25,terça-feira,3107,31,Águia,2,3550,35,Galo,13,4476,44,Pavâo,19,8226,82,Carneiro,7,9626,96,Carneiro,7,9041,90,Cavalo,11,1855,18,Gato,14,6324,63,Cabra,6,0459,04,Jacaré,15,6477,64,Peru,20
2026-08-24,segunda-feira,6253,62,Gato,14,7880,78,Peru,20,1339,13,Coelho,10,8563,85,Leâo,16,2560,25,Jacaré,15,5446,54,Elefante,12,3299,32,Vaca,25,9709,97,Burro,3,2122,21,Cabra,6,2050,20,Galo,13
2026-08-23,domingo,3738,37,Coelho,10,9347,93,Elefante,12,5838,58,Coelho,10,2584,25,Touro,21,0052,00,Galo,13,9594,95,Veado,24,8847,88,Elefante,12,1850,18,Galo,13,1454,14,Gato,14,5827,58,Carneiro,7
2026-08-22,sábado,8403,84,Avestruz,1,7068,70,Macaco,17,1809,18,Burro,3,2669,26,Porco,18,9789,97,Urso,23,9110,91,Burro,3,7044,70,Cavalo,11,7034,70,Cobra,9,5867,58,Macaco,17,0934,09,Cobra,9
2026-08-21,sexta-feira,1769,17,Porco,18,8296,82,Veado,24,1754,17,Gato,14,2579,25,Peru,20,7922,79,Cabra,6,3716,37,Borboleta,4,9943,99,Cavalo,11,6189,61,Urso,23,5306,53,Águia,2,3248,32,Elefante,12
2026-08-20,quinta-feira,8770,87,Porco,18,1427,14,Carneiro,7,1349,13,Galo,13,1454,14,Gato,14,4705,47,Águia,2,0418,04,Cachorro,5,0449,04,Galo,13,5876,58,Pavâo,19,4094,40,Veado,24,3655,36,Gato,14
2026-08-19,quarta-feira,5359,53,Jacaré,15,7779,77,Peru,20,1502,15,Avestruz,1,4724,47,Cabra,6,9433,94,Cobra,9,8007,80,Águia,2,5881,58,Touro,21,6732,67,Camelo,8,8817,88,Cachorro,5,1519,15,Cachorro,5
2026-08-18,terça-feira,5550,55,Galo,13,1146,11,Elefante,12,8096,80,Veado,24,2404,24,Avestruz,1,7956,79,Gato,14,1936,19,Cobra,9,2789,27,Urso,23,0952,09,Galo,13,7187,71,Tigre,22,5129,51,Camelo,8
2026-08-17,segunda-feira,8838,88,Coelho,10,1396,13,Veado,24,5102,51,Avestruz,1,0387,03,Tigre,22,4288,42,Tigre,22,4612,46,Burro,3,0097,00,Vaca,25,2372,23,Porco,18,2600,26,Vaca,25,5809,58,Burro,3
2026-08-16,domingo,8023,80,Cabra,6,1974,19,Pavâo,19,3949,39,Galo,13,7641,76,Cavalo,11,4156,41,Gato,14,9648,96,Elefante,12,9939,99,Coelho,10,6555,65,Gato,14,4669,46,Porco,18,9190,91,Urso,23
2026-08-15,sábado,4184,41,Touro,21,6161,61,Leâo,16,8339,83,Coelho,10,6366,63,Macaco,17,9857,98,Jacaré,15,2566,25,Macaco,17,7391,73,Urso,23,0050,00,Galo,13,0354,03,Gato,14,5065,50,Macaco,17
2026-08-14,sexta-feira,4983,49,Touro,21,3250,32,Galo,13,7032,70,Camelo,8,5401,54,Avestruz,1,2237,22,Coelho,10,9788,97,Tigre,22,1160,11,Jacaré,15,3870,38,Porco,18,3919,39,Cachorro,5,9103,91,Avestruz,1
2026-08-13,quinta-feira,3566,35,Macaco,17,2040,20,Coelho,10,8848,88,Elefante,12,8239,82,Coelho,10,0935,09,Cobra,9,3859,38,Jacaré,15,4035,40,Cobra,9,6427,64,Carneiro,7,4070,40,Porco,18,9252,92,Galo,13
2026-08-12,quarta-feira,2075,20,Pavâo,19,2130,21,Camelo,8,9380,93,Peru,20,4905,49,Águia,2,7124,71,Cabra,6,6453,64,Gato,14,0891,08,Urso,23,0943,09,Cavalo,11,0702,07,Avestruz,1,6827,68,Carneiro,7
2026-08-11,terça-feira,4348,43,Elefante,12,4235,42,Cobra,9,3482,34,Touro,21,0892,08,Urso,23,6487,64,Tigre,22,6116,61,Borboleta,4,6763,67,Leâo,16,9417,94,Cachorro,5,8310,83,Burro,3,5932,59,Camelo,8
