data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,7581,75,Touro,21,3195,31,Veado,24,3246,32,Elefante,12,7216,72,Borboleta,4,8016,80,Borboleta,4,8819,88,Cachorro,5,0676,06,Pavâo,19,8498,84,Vaca,25,1071,10,Porco,18,4071,40,Porco,18
2026-09-12,sábado,8689,86,Urso,23,3403,34,Avestruz,1,2726,27,Carneiro,7,6784,67,Touro,21,8762,87,Leâo,16,8632,86,Camelo,8,5099,50,Vaca,25,8615,86,Borboleta,4,7265,72,Macaco,17,2347,23,Elefante,12
2026-09-11,sexta-feira,8964,89,Leâo,16,3834,38,Cobra,9,1356,13,Gato,14,0639,06,Coelho,10,2941,29,Cavalo,11,7852,78,Galo,13,7358,73,Jacaré,15,1531,15,Camelo,8,8973,89,Pavâo,19,4247,42,Elefante,12
2026-09-10,quinta-feira,6965,69,Macaco,17,0448,04,Elefante,12,2309,23,Burro,3,1526,15,Carneiro,7,8690,86,Urso,23,9747,97,Elefante,12,1716,17,Borboleta,4,8726,87,Carneiro,7,8905,89,Águia,2,8905,89,Águia,2
2026-09-09,quarta-feira,2071,20,Porco,18,8204,82,Avestruz,1,2171,21,Porco,18,7974,79,Pavâo,19,1918,19,Cachorro,5,3546,35,Elefante,12,5184,51,Touro,21,9117,91,Cachorro,5,8366,83,Macaco,17,1927,19,Carneiro,7
2026-09-08,terça-feira,3583,35,Touro,21,9266,92,Macaco,17,5223,52,Cabra,6,5334,53,Cobra,9,2785,27,Tigre,22,0676,06,Pavâo,19,2565,25,Macaco,17,9625,96,Carneiro,7,5940,59,Coelho,10,3832,38,Camelo,8
2026-09-07,segunda-feira,7409,74,Burro,3,4659,46,Jacaré,15,9840,98,Coelho,10,3291,32,Urso,23,1955,19,Gato,14,1210,12,Burro,3,1643,16,Cavalo,11,8752,87,Galo,13,4915,49,Borboleta,4,3228,32,Carneiro,7
2026-09-06,domingo,6490,64,Urso,23,0713,07,Borboleta,4,9784,97,Touro,21,6698,66,Vaca,25,5951,59,Galo,13,8065,80,Macaco,17,6663,66,Leâo,16,6712,67,Burro,3,7311,73,Burro,3,1655,16,Gato,14
2026-09-05,sábado,4673,46,Pavâo,19,2259,22,Jacaré,15,1651,16,Galo,13,1330,13,Camelo,8,7571,75,Porco,18,0386,03,Tigre,22,9875,98,Pavâo,19,3439,34,Coelho,10,3732,37,Camelo,8,2483,24,Touro,21
2026-09-04,sexta-feira,0083,00,Touro,21,1613,16,Borboleta,4,7955,79,Gato,14,8539,85,Coelho,10,9752,97,Galo,13,2253,22,Gato,14,7076,70,Pavâo,19,7922,79,Cabra,6,0058,00,Jacaré,15,7870,78,Porco,18
2026-09-03,quinta-feira,1238,12,Coelho,10,9815,98,Borboleta,4,2529,25,Camelo,8,1970,19,Porco,18,7352,73,Galo,13,9750,97,Galo,13,1942,19,Cavalo,11,6930,69,Camelo,8,7911,79,Burro,3,7785,77,Tigre,22
2026-09-02,quarta-feira,2589,25,Urso,23,4321,43,Cabra,6,3954,39,Gato,14,0272,02,Porco,18,7024,70,Cabra,6,7066,70,Macaco,17,4005,40,Águia,2,4958,49,Jacaré,15,4530,45,Camelo,8,9609,96,Burro,3
2026-09-01,terça-feira,2199,21,Vaca,25,2544,25,Cavalo,11,7749,77,Galo,13,2912,29,Burro,3,9948,99,Elefante,12,5195,51,Veado,24,0183,01,Touro,21,6034,60,Cobra,9,7750,77,Galo,13,2745,27,Elefante,12
2026-08-31,segunda-feira,0404,04,Avestruz,1,0849,08,Galo,13,9205,92,Águia,2,2618,26,Cachorro,5,6701,67,Avestruz,1,4642,46,Cavalo,11,9645,96,Elefante,12,3869,38,Porco,18,3738,37,Coelho,10,4358,43,Jacaré,15
2026-08-30,domingo,6123,61,Cabra,6,8227,82,Carneiro,7,8966,89,Macaco,17,9604,96,Avestruz,1,2080,20,Peru,20,6954,69,Gato,14,5641,56,Cavalo,11,2730,27,Camelo,8,9458,94,Jacaré,15,4237,42,Coelho,10
2026-08-29,sábado,6307,63,Águia,2,8510,85,Burro,3,4749,47,Galo,13,8444,84,Cavalo,11,8948,89,Elefante,12,4924,49,Cabra,6,3740,37,Coelho,10,0227,02,Carneiro,7,9426,94,Carneiro,7,0810,08,Burro,3
2026-08-28,sexta-feira,1874,18,Pavâo,19,6583,65,Touro,21,3245,32,Elefante,12,1146,11,Elefante,12,5196,51,Veado,24,9320,93,Cachorro,5,1223,12,Cabra,6,8277,82,Peru,20,3556,35,Gato,14,2310,23,Burro,3
2026-08-27,quinta-feira,1137,11,Coelho,10,7727,77,Carneiro,7,6206,62,Águia,2,2126,21,Carneiro,7,4668,46,Macaco,17,6358,63,Jacaré,15,1707,17,Águia,2,1829,18,Camelo,8,8872,88,Porco,18,2791,27,Urso,23
2026-08-26,quarta-feira,0138,01,Coelho,10,7249,72,Galo,13,4720,47,Cachorro,5,4958,49,Jacaré,15,2307,23,Águia,2,3491,34,Urso,23,5845,58,Elefante,12,5507,55,Águia,2,7729,77,Camelo,8,4896,48,Veado,24
2026-08-25,terça-feira,3013,30,Borboleta,4,5279,52,Peru,20,2857,28,Jacaré,15,7803,78,Avestruz,1,4156,41,Gato,14,2735,27,Cobra,9,9167,91,Macaco,17,7065,70,Macaco,17,4642,46,Cavalo,11,5081,50,Touro,21
2026-08-24,segunda-feira,4812,48,Burro,3,7558,75,Jacaré,15,6816,68,Borboleta,4,6226,62,Carneiro,7,5910,59,Burro,3,6883,68,Touro,21,3292,32,Urso,23,3184,31,Touro,21,2978,29,Peru,20,1341,13,Cavalo,11
2026-08-23,domingo,3266,32,Macaco,17,8168,81,Macaco,17,1596,15,Veado,24,7455,74,Gato,14,2802,28,Avestruz,1,4192,41,Urso,23,0253,02,Gato,14,5583,55,Touro,21,8136,81,Cobra,9,3459,34,Jacaré,15
2026-08-22,sábado,8480,84,Peru,20,6092,60,Urso,23,9667,96,Macaco,17,4814,48,Borboleta,4,7296,72,Veado,24,4120,41,Cachorro,5,5833,58,Cobra,9,9186,91,Tigre,22,0210,02,Burro,3,3242,32,Cavalo,11
2026-08-21,sexta-feira,2839,28,Coelho,10,0958,09,Jacaré,15,0395,03,Veado,24,8081,80,Touro,21,8800,88,Vaca,25,5156,51,Gato,14,2283,22,Touro,21,4081,40,Touro,21,4915,49,Borboleta,4,6076,60,Pavâo,19
2026-08-20,quinta-feira,3566,35,Macaco,17,3685,36,Tigre,22,1530,15,Camelo,8,1844,18,Cavalo,11,4027,40,Carneiro,7,0157,01,Jacaré,15,8851,88,Galo,13,8003,80,Avestruz,1,9847,98,Elefante,12,6657,66,Jacaré,15
