data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,1566,15,Macaco,17,8941,89,Cavalo,11,5122,51,Cabra,6,7337,73,Coelho,10,6108,61,Águia,2,9681,96,Touro,21,1797,17,Vaca,25,8640,86,Coelho,10,8081,80,Touro,21,1704,17,Avestruz,1
2026-09-12,sábado,9364,93,Leâo,16,8028,80,Carneiro,7,6477,64,Peru,20,8326,83,Carneiro,7,2678,26,Peru,20,2955,29,Gato,14,3916,39,Borboleta,4,6062,60,Leâo,16,8587,85,Tigre,22,7432,74,Camelo,8
2026-09-11,sexta-feira,4469,44,Porco,18,6353,63,Gato,14,9836,98,Cobra,9,8310,83,Burro,3,1492,14,Urso,23,2813,28,Borboleta,4,5537,55,Coelho,10,8359,83,Jacaré,15,7718,77,Cachorro,5,7424,74,Cabra,6
2026-09-10,quinta-feira,5896,58,Veado,24,6402,64,Avestruz,1,9435,94,Cobra,9,6021,60,Cabra,6,0968,09,Macaco,17,7665,76,Macaco,17,4120,41,Cachorro,5,7779,77,Peru,20,9188,91,Tigre,22,5098,50,Vaca,25
2026-09-09,quarta-feira,1414,14,Borboleta,4,7077,70,Peru,20,0219,02,Cachorro,5,2827,28,Carneiro,7,8191,81,Urso,23,6476,64,Pavâo,19,4816,48,Borboleta,4,5113,51,Borboleta,4,3598,35,Vaca,25,7291,72,Urso,23
2026-09-08,terça-feira,3634,36,Cobra,9,8623,86,Cabra,6,5223,52,Cabra,6,3955,39,Gato,14,5872,58,Porco,18,6550,65,Galo,13,7624,76,Cabra,6,6569,65,Porco,18,0295,02,Veado,24,2383,23,Touro,21
2026-09-07,segunda-feira,9901,99,Avestruz,1,0549,05,Galo,13,4682,46,Touro,21,7493,74,Veado,24,5591,55,Urso,23,0325,03,Carneiro,7,1451,14,Galo,13,2679,26,Peru,20,1184,11,Touro,21,8223,82,Cabra,6
2026-09-06,domingo,0348,03,Elefante,12,9189,91,Urso,23,4776,47,Pavâo,19,6096,60,Veado,24,1595,15,Veado,24,5321,53,Cabra,6,6611,66,Burro,3,0673,06,Pavâo,19,8667,86,Macaco,17,5561,55,Leâo,16
2026-09-05,sábado,3910,39,Burro,3,7553,75,Gato,14,6263,62,Leâo,16,4211,42,Burro,3,1757,17,Jacaré,15,6592,65,Urso,23,8733,87,Cobra,9,3847,38,Elefante,12,0933,09,Cobra,9,3842,38,Cavalo,11
2026-09-04,sexta-feira,3359,33,Jacaré,15,8153,81,Gato,14,0695,06,Veado,24,0178,01,Peru,20,2579,25,Peru,20,3628,36,Carneiro,7,5725,57,Carneiro,7,2090,20,Urso,23,2770,27,Porco,18,0787,07,Tigre,22
2026-09-03,quinta-feira,8590,85,Urso,23,3127,31,Carneiro,7,2859,28,Jacaré,15,1921,19,Cabra,6,2537,25,Coelho,10,0201,02,Avestruz,1,5431,54,Camelo,8,7999,79,Vaca,25,9167,91,Macaco,17,5877,58,Peru,20
2026-09-02,quarta-feira,9142,91,Cavalo,11,8257,82,Jacaré,15,5392,53,Urso,23,2430,24,Camelo,8,4207,42,Águia,2,6580,65,Peru,20,6053,60,Gato,14,0095,00,Veado,24,7444,74,Cavalo,11,9069,90,Porco,18
2026-09-01,terça-feira,9492,94,Urso,23,9441,94,Cavalo,11,1579,15,Peru,20,2272,22,Porco,18,8499,84,Vaca,25,5340,53,Coelho,10,9835,98,Cobra,9,1107,11,Águia,2,5067,50,Macaco,17,5472,54,Porco,18
