data,dia_semana,milhar_1,cabeca_1,bicho_nome_1,bicho_numero_1,milhar_2,cabeca_2,bicho_nome_2,bicho_numero_2,milhar_3,cabeca_3,bicho_nome_3,bicho_numero_3,milhar_4,cabeca_4,bicho_nome_4,bicho_numero_4,milhar_5,cabeca_5,bicho_nome_5,bicho_numero_5,milhar_6,cabeca_6,bicho_nome_6,bicho_numero_6,milhar_7,cabeca_7,bicho_nome_7,bicho_numero_7,milhar_8,cabeca_8,bicho_nome_8,bicho_numero_8,milhar_9,cabeca_9,bicho_nome_9,bicho_numero_9,milhar_10,cabeca_10,bicho_nome_10,bicho_numero_10
2026-09-13,domingo,3264,32,Leâo,16,5248,52,Elefante,12,2482,24,Touro,21,7877,78,Peru,20,5850,58,Galo,13,2091,20,Urso,23,9008,90,Águia,2,5322,53,Cabra,6,2371,23,Porco,18,7566,75,Macaco,17
2026-09-12,sábado,8811,88,Burro,3,6631,66,Camelo,8,3338,33,Coelho,10,9841,98,Cavalo,11,6612,66,Burro,3,0102,01,Avestruz,1,3965,39,Macaco,17,8148,81,Elefante,12,6996,69,Veado,24,0289,02,Urso,23
2026-09-11,sexta-feira,8327,83,Carneiro,7,9710,97,Burro,3,9266,92,Macaco,17,8138,81,Coelho,10,4278,42,Peru,20,9976,99,Pavâo,19,5964,59,Leâo,16,5383,53,Touro,21,8440,84,Coelho,10,7676,76,Pavâo,19
2026-09-10,quinta-feira,5538,55,Coelho,10,2514,25,Borboleta,4,5028,50,Carneiro,7,2381,23,Touro,21,5001,50,Avestruz,1,8178,81,Peru,20,8766,87,Macaco,17,7392,73,Urso,23,0355,03,Gato,14,9617,96,Cachorro,5
2026-09-09,quarta-feira,7834,78,Cobra,9,7925,79,Carneiro,7,2580,25,Peru,20,4511,45,Burro,3,7755,77,Gato,14,6372,63,Porco,18,0159,01,Jacaré,15,0870,08,Porco,18,8368,83,Macaco,17,3165,31,Macaco,17
2026-09-08,terça-feira,2788,27,Tigre,22,3664,36,Leâo,16,8375,83,Pavâo,19,5543,55,Cavalo,11,4751,47,Galo,13,4564,45,Leâo,16,5831,58,Camelo,8,3847,38,Elefante,12,3004,30,Avestruz,1,7758,77,Jacaré,15
2026-09-07,segunda-feira,7653,76,Gato,14,3487,34,Tigre,22,5968,59,Macaco,17,2814,28,Borboleta,4,1048,10,Elefante,12,4806,48,Águia,2,0882,08,Touro,21,2239,22,Coelho,10,4918,49,Cachorro,5,6992,69,Urso,23
2026-09-06,domingo,8190,81,Urso,23,2018,20,Cachorro,5,0269,02,Porco,18,9356,93,Gato,14,7042,70,Cavalo,11,2557,25,Jacaré,15,9871,98,Porco,18,3914,39,Borboleta,4,7241,72,Cavalo,11,1546,15,Elefante,12
2026-09-05,sábado,9671,96,Porco,18,1180,11,Peru,20,1964,19,Leâo,16,6373,63,Pavâo,19,8394,83,Veado,24,1891,18,Urso,23,1933,19,Cobra,9,5108,51,Águia,2,7991,79,Urso,23,7466,74,Macaco,17
2026-09-04,sexta-feira,7209,72,Burro,3,0821,08,Cabra,6,5908,59,Águia,2,9469,94,Porco,18,3876,38,Pavâo,19,8464,84,Leâo,16,4631,46,Camelo,8,5591,55,Urso,23,0655,06,Gato,14,6079,60,Peru,20
2026-09-03,quinta-feira,0112,01,Burro,3,2372,23,Porco,18,3614,36,Borboleta,4,4430,44,Camelo,8,4874,48,Pavâo,19,8483,84,Touro,21,1378,13,Peru,20,8808,88,Águia,2,1646,16,Elefante,12,8003,80,Avestruz,1
